RefNum,age,job,marital,education,housing,loan,contact,day,month,duration,deposit,balance
10023510,54,retired,married,secondary,yes,no,,3,december,1492,11709,95220
10023511,58,retired,married,,yes,no,,16,january,616,0,17280
10023512,36,admin.,single,primary,yes,no,,16,february,242,0,-30780
10023513,58,self-employed,married,tertiary,yes,no,,22,march,355,0,-65520
10023514,44,technician,married,secondary,yes,no,,13,april,225,0,0
10023515,55,technician,divorced,secondary,no,no,,8,may,160,0,0
10023516,29,management,single,tertiary,yes,no,,21,june,363,0,0
10023517,54,blue-collar,married,secondary,yes,no,,27,july,266,0,232380
10023518,48,management,divorced,tertiary,yes,no,,15,august,253,0,-43920
10023519,32,management,married,tertiary,yes,no,,18,september,179,0,0
10023520,42,admin.,single,secondary,yes,no,,16,october,787,0,cc
10023521,24,technician,single,secondary,yes,yes,,21,november,145,0,-18540
10023522,38,entrepreneur,single,tertiary,no,yes,,25,december,174,16678.8,43740
10023523,38,management,single,tertiary,yes,no,,6,january,104,18716.4,76320
10023524,47,blue-collar,married,,yes,no,,17,february,13,4453.2,55080
10023525,40,blue-collar,single,,yes,no,,17,march,185,3405.6,4320
10023526,46,services,married,primary,yes,no,,30,april,1778,0,32220
10023527,32,admin.,married,tertiary,yes,no,,15,may,138,0,0
10023528,53,technician,divorced,secondary,yes,no,,3,june,812,25785,178020
10023529,57,blue-collar,married,primary,yes,no,,12,july,164,23045.4,44820
10023530,33,services,married,secondary,yes,no,,21,august,391,18124.2,142200
10023531,49,blue-collar,married,,yes,no,,21,september,357,52108.2,27720
10023532,51,management,married,tertiary,yes,no,,13,october,91,41988.6,1175400
10023533,60,retired,married,tertiary,no,no,,1,november,528,3990.6,18000
10023534,59,management,divorced,tertiary,yes,no,,9,december,273,13854.6,10620
10023535,55,technician,married,secondary,yes,no,,16,january,158,199418.4,216900
10023536,35,blue-collar,single,secondary,yes,yes,,26,february,177,442569.6,2200140
10023537,57,blue-collar,married,secondary,yes,yes,,4,march,258,20016,1068300
10023538,31,services,married,secondary,yes,yes,,4,april,172,4363.2,4500
10023539,54,management,married,secondary,yes,yes,,22,may,154,4185,50760
10023540,55,blue-collar,married,primary,yes,no,,20,june,291,10967.4,4140
10023541,43,technician,married,secondary,yes,no,,20,july,181,44814.6,348660
10023542,53,technician,married,secondary,yes,no,,8,august,176,24564.6,69120
10023543,44,blue-collar,married,secondary,no,yes,,10,september,211,11957.4,104760
10023544,55,services,divorced,secondary,no,,,25,october,349,0,16380
10023545,49,services,divorced,secondary,yes,yes,,21,november,272,0,0
10023546,55,services,divorced,secondary,yes,no,,30,december,208,745.2,180
10023547,45,admin.,single,secondary,yes,no,,23,january,193,9550.8,37080
10023548,47,services,divorced,secondary,no,no,,8,february,212,17479.8,29520
10023549,42,technician,single,secondary,yes,no,,24,march,20,66069,124200
10023550,59,admin.,married,secondary,yes,no,,16,april,1042,29439,421740
10023551,46,self-employed,married,tertiary,yes,yes,,25,may,246,7999.2,24660
10023552,51,blue-collar,married,primary,yes,no,,6,june,529,4584.6,31140
10023553,56,admin.,married,secondary,no,no,,26,july,1467,12421.8,aa
10023554,41,technician,married,secondary,yes,no,,16,august,1389,7407,228600
10023555,46,management,divorced,secondary,yes,yes,,21,september,188,4582.8,2880
10023556,57,retired,married,secondary,yes,no,,14,october,180,8100,87480
10023557,42,management,single,secondary,no,no,,26,november,48,4530.6,9000
10023558,30,technician,married,secondary,yes,yes,,5,december,213,10909.8,27360
10023559,60,admin.,married,secondary,yes,no,,18,january,583,6501.6,52200
10023560,60,blue-collar,married,,yes,no,,18,february,221,0,9720
10023561,57,entrepreneur,divorced,secondary,no,no,,29,march,173,0,-6660
10023562,36,management,married,tertiary,yes,yes,,12,april,426,10220.4,18180
10023563,55,blue-collar,married,secondary,no,no,,20,may,287,9153,68940
10023564,60,retired,married,tertiary,yes,no,,25,june,101,0,14580
10023565,39,technician,married,secondary,yes,no,,9,july,203,0,0
10023566,46,management,married,tertiary,yes,no,,5,august,197,0,41220
10023567,44,blue-collar,married,secondary,yes,no,,8,september,257,0,-121320
10023568,53,blue-collar,married,primary,no,no,,24,october,124,5576.4,16200
10023569,52,blue-collar,married,primary,yes,no,,28,november,229,7866,23040
10023570,59,blue-collar,married,primary,yes,no,,28,december,55,0,32220
10023571,27,technician,single,tertiary,yes,no,,24,january,400,0,0
10023572,44,blue-collar,married,secondary,yes,no,,6,february,197,4692.6,9720
10023573,47,technician,married,tertiary,yes,no,,23,march,190,4987.8,27180
10023574,34,admin.,married,secondary,no,yes,,29,april,21,2223,10980
10023575,59,retired,single,secondary,yes,no,,28,may,514,6508.8,5400
10023576,45,management,married,tertiary,yes,no,,29,june,849,6616.8,94140
10023577,29,services,divorced,secondary,yes,no,,25,july,194,2572.2,5580
10023578,46,technician,divorced,secondary,no,no,,12,august,144,0,14220
10023579,56,self-employed,married,primary,yes,yes,,2,september,212,0,-6120
10023580,36,blue-collar,married,primary,yes,no,,2,october,286,9898.2,80640
10023581,59,retired,divorced,primary,yes,no,,12,november,107,5612.4,14580
10023582,44,blue-collar,married,secondary,yes,no,,12,december,247,11682,25920
10023583,41,admin.,married,secondary,yes,no,,14,january,518,0,63180
10023584,33,management,single,tertiary,yes,no,,14,february,364,0,-12060
10023585,59,management,divorced,tertiary,no,no,,24,march,178,0,47160
10023586,57,technician,married,primary,no,no,,10,april,98,0,0
10023587,56,technician,divorced,,yes,no,,21,may,439,1983.6,10080
10023588,51,blue-collar,married,secondary,yes,no,,12,june,79,459,4680
10023589,34,admin.,married,,yes,no,,24,july,120,576,540
10023590,43,services,married,secondary,yes,yes,,22,august,127,880.2,7380
10023591,52,technician,married,tertiary,no,yes,,25,september,175,1409.4,1260
10023592,33,technician,single,secondary,yes,no,,23,october,262,15228,18900
10023593,29,admin.,single,secondary,yes,yes,,6,november,61,0,147240
10023594,34,services,married,secondary,yes,yes,,27,december,78,0,-2880
10023595,31,blue-collar,married,secondary,yes,no,,23,january,143,0,0
10023596,,services,married,secondary,yes,no,,5,february,579,89004.6,445680
10023597,55,management,married,,no,no,,11,march,677,26350.2,213300
10023598,32,admin.,single,secondary,yes,no,,14,april,345,31420.8,39060
10023599,38,technician,single,secondary,yes,no,,11,may,185,60404.4,303300
10023600,55,admin.,single,secondary,yes,yes,,9,june,100,0,144360
10023601,28,unemployed,single,tertiary,yes,no,,26,july,125,0,0
10023602,23,blue-collar,married,secondary,yes,no,,6,august,193,0,16920
10023603,32,technician,single,secondary,yes,no,,15,september,136,0,0
10023604,43,services,single,,no,no,,16,october,73,0,0
10023605,32,blue-collar,married,secondary,yes,no,,1,november,528,19233,93060
10023606,46,blue-collar,married,secondary,yes,no,,13,december,541,26029.8,47700
10023607,53,housemaid,divorced,primary,yes,no,,17,january,163,2770.2,170460
10023608,34,self-employed,single,secondary,yes,no,,18,february,301,583.2,540
10023609,57,unemployed,married,tertiary,no,no,,21,march,46,2048.4,7560
10023610,37,blue-collar,married,secondary,yes,no,,25,april,204,2386.8,6660
10023611,59,blue-collar,married,secondary,yes,no,,16,may,98,1839.6,10260
10023612,33,services,married,secondary,yes,no,,11,june,71,689.4,3960
10023613,56,blue-collar,divorced,primary,yes,no,,22,july,157,2516.4,1440
10023614,48,unemployed,married,secondary,yes,no,,15,august,243,1540.8,52740
10023615,43,services,married,primary,yes,no,,30,september,186,1679.4,540
10023616,54,blue-collar,married,primary,yes,no,,27,october,579,0,62640
10023617,51,blue-collar,married,,yes,no,,26,november,163,0,-3420
10023618,26,student,single,secondary,yes,no,,24,december,610,0,0
10023619,40,management,married,tertiary,yes,no,,29,january,2033,0,-720
10023620,39,management,married,secondary,yes,no,,10,february,85,2599.2,3240
10023621,50,technician,married,primary,no,no,,11,march,114,0,25020
10023622,41,services,married,secondary,yes,,,29,april,114,0,0
10023623,51,blue-collar,married,,yes,no,,3,may,57,33138,338940
10023624,60,retired,divorced,secondary,yes,no,,11,june,238,21355.2,38880
10023625,52,blue-collar,married,secondary,yes,no,,11,july,93,43689.6,140760
10023626,48,blue-collar,married,secondary,yes,no,,20,august,128,64510.2,162720
10023627,48,services,married,,yes,no,,16,september,107,14709.6,306900
10023628,39,technician,single,tertiary,yes,no,,19,october,181,4726.8,8460
10023629,47,services,single,secondary,yes,no,,12,november,303,24127.2,31680
10023630,40,blue-collar,married,secondary,yes,no,,16,december,558,16866,220500
10023631,45,technician,married,secondary,yes,no,,12,january,270,4363.2,15480
10023632,26,admin.,single,secondary,yes,no,,28,february,228,7745.4,14760
10023633,52,management,married,tertiary,yes,no,,11,march,99,31753.8,48780
10023634,54,technician,married,secondary,yes,no,,9,april,240,26164.8,248040
10023635,54,admin.,married,tertiary,no,no,,24,may,673,0,33120
10023636,50,blue-collar,married,primary,no,no,,20,june,233,0,0
10023637,35,blue-collar,married,secondary,yes,no,,30,july,1056,0,0
10023638,44,services,married,secondary,yes,yes,,12,august,250,8343,244260
10023639,53,entrepreneur,married,,yes,no,,21,september,252,4717.8,3420
10023640,35,retired,single,primary,no,no,,22,october,138,10382.4,78120
10023641,60,admin.,divorced,secondary,yes,no,,1,november,130,16909.2,16560
10023642,53,admin.,divorced,secondary,yes,no,,30,december,412,11287.8,207180
10023643,48,unemployed,married,secondary,yes,no,,22,january,179,2376,7380
10023644,34,technician,married,secondary,yes,no,,27,february,19,5428.8,9180
10023645,54,services,married,secondary,yes,no,,23,march,458,25900.2,38520
10023646,51,management,married,secondary,yes,no,,26,april,717,10769.4,208980
10023647,31,services,married,tertiary,yes,no,,29,may,313,8866.8,6660
10023648,35,technician,divorced,secondary,yes,no,,29,june,683,11196,141660
10023649,35,services,married,secondary,yes,no,,27,july,1077,6348.6,10620
10023650,38,technician,married,secondary,yes,no,,27,august,416,12006,45540
10023651,36,admin.,married,tertiary,yes,no,,21,september,146,11570.4,37980
10023652,58,retired,married,primary,yes,no,,30,october,167,52741.8,42300
10023653,40,services,divorced,,yes,no,,6,november,315,219758.4,789120
10023654,54,management,married,secondary,no,no,,21,december,140,24163.2,734400
10023655,34,blue-collar,single,secondary,yes,yes,,26,january,346,0,9540
10023656,31,management,single,tertiary,yes,no,,18,february,562,0,0
10023657,51,retired,married,secondary,yes,no,,22,march,172,46530,382860
10023658,33,management,married,tertiary,yes,no,,25,april,217,8620.2,67860
10023659,55,management,married,tertiary,yes,no,,22,may,142,9365.4,13140
10023660,42,admin.,married,secondary,yes,no,,9,june,67,17087.4,80100
10023661,34,blue-collar,married,secondary,yes,,,26,july,291,14193,43740
10023662,33,blue-collar,single,secondary,yes,no,,9,august,309,11334.6,55260
10023663,38,services,married,secondary,yes,no,,19,september,248,8508.6,27900
10023664,50,technician,divorced,tertiary,no,yes,,19,october,98,13669.2,31140
10023665,43,management,married,tertiary,yes,no,,17,november,256,39270.6,72000
10023666,61,blue-collar,divorced,primary,yes,no,,13,december,82,29057.4,257040
10023667,47,admin.,married,secondary,yes,no,,10,january,577,2034,39420
10023668,48,self-employed,married,tertiary,yes,no,,5,february,286,3295.8,1260
10023669,44,blue-collar,married,secondary,yes,no,,14,march,477,21510,103500
10023670,35,student,single,,yes,no,,30,april,611,0,53640
10023671,35,services,married,secondary,yes,no,,22,may,471,0,0
10023672,50,services,married,secondary,yes,no,,5,june,381,52039.8,1025820
10023673,41,management,married,tertiary,yes,yes,,6,july,42,15674.4,31680
10023674,41,management,married,tertiary,yes,no,,17,august,251,18941.4,93060
10023675,39,services,single,,yes,no,,1,september,408,6233.4,46260
10023676,42,retired,married,secondary,yes,no,,17,october,215,0,10080
10023677,38,blue-collar,married,secondary,yes,no,,26,november,287,0,-70200
10023678,53,retired,married,secondary,yes,no,,12,december,216,13181.4,59400
10023679,59,housemaid,divorced,primary,no,no,,8,january,366,12589.2,35100
10023680,36,services,married,secondary,yes,no,,24,february,210,,54180
10023681,54,blue-collar,married,primary,yes,no,,1,march,288,,-7380
10023682,40,technician,married,tertiary,yes,no,,25,april,168,6042.6,86940
10023683,47,,married,,no,no,,19,may,338,991.8,5040
10023684,53,unemployed,married,,no,no,,6,june,410,5819.4,2340
10023685,46,housemaid,married,primary,no,no,,9,july,177,31383,173700
10023686,39,management,married,tertiary,yes,yes,,8,august,127,14950.8,68040
10023687,40,unemployed,married,secondary,yes,no,,25,september,357,13842,39420
10023688,28,blue-collar,married,primary,yes,no,,2,october,175,,58320
10023689,35,entrepreneur,divorced,secondary,yes,no,,11,november,300,,-12420
10023690,55,retired,married,secondary,no,yes,,4,december,136,0,0
10023691,43,technician,divorced,,yes,no,,23,january,1419,12403.8,36900
10023692,48,blue-collar,married,primary,yes,no,,2,february,125,28272.6,50040
10023693,58,management,married,,yes,no,,27,march,213,9887.4,191700
10023694,33,management,single,tertiary,yes,no,,28,april,27,9738,6120
10023695,36,blue-collar,married,,no,no,,27,may,238,63964.8,185940
10023696,53,services,divorced,secondary,yes,no,,28,june,124,0,264060
10023697,47,blue-collar,married,primary,yes,no,,18,july,18,0,-2160
10023698,31,services,married,secondary,yes,no,,21,august,730,17550,69840
10023699,57,entrepreneur,married,secondary,yes,no,,10,september,746,38082.6,52920
10023700,53,blue-collar,married,,no,,,1,october,121,55614.6,328860
10023701,55,blue-collar,married,primary,yes,no,,29,november,247,6505.2,112860
10023702,45,blue-collar,married,primary,yes,no,,4,december,40,4611.6,4500
10023703,53,admin.,divorced,secondary,yes,no,,22,january,181,0,56700
10023704,37,blue-collar,married,primary,yes,no,,20,february,79,0,0
10023705,44,admin.,divorced,secondary,yes,no,,3,march,206,,11880
10023706,49,blue-collar,divorced,primary,yes,yes,,7,april,389,,-1620
10023707,46,technician,married,secondary,yes,yes,,9,may,127,9707.4,62820
10023708,43,entrepreneur,married,,yes,no,,16,june,702,0,18000
10023709,38,admin.,married,secondary,no,no,,3,july,151,0,0
10023710,43,technician,married,secondary,yes,no,,12,august,117,61588.8,78120
10023711,49,management,married,tertiary,yes,no,,18,september,232,49024.8,582660
10023712,42,management,married,,no,no,,22,october,408,0,49500
10023713,,blue-collar,single,secondary,yes,no,,22,november,179,0,0
10023714,40,management,married,tertiary,yes,no,,9,december,39,16430.4,37260
10023715,39,blue-collar,married,secondary,yes,no,,12,january,282,54144,86940
10023716,51,services,married,secondary,yes,no,,26,february,714,50968.8,404640
10023717,49,admin.,married,secondary,yes,no,,7,march,50,0,77040
10023718,53,blue-collar,married,secondary,yes,yes,,24,april,181,0,0
10023719,34,services,single,secondary,yes,no,,27,may,142,0,0
10023720,33,technician,divorced,secondary,yes,no,,2,june,227,10594.8,25200
10023721,50,management,single,tertiary,yes,no,,19,july,119,14958,53460
10023722,39,blue-collar,married,primary,yes,no,,17,august,361,26053.2,50220
10023723,59,entrepreneur,divorced,secondary,yes,no,,13,september,73,79115.4,162180
10023724,30,technician,single,secondary,yes,no,,12,october,67,31518,463140
10023725,36,services,married,secondary,yes,yes,,20,november,350,13543.2,25740
10023726,40,blue-collar,married,secondary,yes,no,,10,december,332,9475.2,85500
10023727,53,blue-collar,married,secondary,yes,no,,21,january,611,7752.6,12600
10023728,34,management,single,tertiary,yes,no,,8,february,113,15366.6,57240
10023729,37,technician,married,secondary,yes,no,,19,march,132,23472,49500
10023730,42,management,divorced,tertiary,yes,no,,16,april,58,21744,133560
10023731,41,entrepreneur,married,primary,yes,no,,27,may,151,3990.6,42480
10023732,30,student,single,tertiary,yes,no,,15,june,89,6364.8,4500
10023733,37,management,single,tertiary,yes,no,,12,july,152,,108000
10023734,39,admin.,divorced,secondary,yes,no,,4,august,611,,-62820
10023735,41,blue-collar,married,primary,yes,yes,,18,september,110,0,32940
10023736,40,blue-collar,married,primary,yes,no,,20,october,463,0,0
10023737,42,management,single,tertiary,yes,yes,,26,november,562,0,0
10023738,40,blue-collar,divorced,primary,yes,no,,5,december,962,0,0
10023739,57,technician,married,secondary,yes,,,27,january,10,21240,194040
10023740,56,entrepreneur,divorced,secondary,no,no,,16,february,118,8917.2,27900
10023741,37,admin.,married,secondary,yes,no,,23,march,92,12792.6,34200
10023742,59,retired,married,secondary,yes,no,,23,april,143,,57420
10023743,39,services,divorced,secondary,yes,no,,25,may,189,,-33300
10023744,49,services,married,secondary,no,no,,3,june,234,8505,8460
10023745,38,services,single,secondary,yes,no,,6,july,75,5407.2,102600
10023746,36,self-employed,married,tertiary,no,no,,11,august,189,1769.4,3420
10023747,50,blue-collar,married,primary,yes,no,,11,september,621,0,10980
10023748,41,admin.,married,secondary,yes,yes,,19,october,55,0,-11160
10023749,54,technician,married,tertiary,no,no,,26,november,310,7275.6,46440
10023750,58,blue-collar,married,primary,yes,no,,26,december,156,0,13680
10023751,30,blue-collar,single,secondary,yes,no,,18,january,5,0,0
10023752,33,admin.,single,secondary,yes,no,,14,february,225,18702,63360
10023753,47,admin.,married,secondary,yes,no,,2,march,125,18352.8,66240
10023754,50,technician,single,tertiary,yes,no,,21,april,2,34903.8,61020
10023755,32,blue-collar,married,secondary,yes,no,,30,may,286,49141.8,239580
10023756,40,self-employed,married,secondary,yes,no,,27,june,164,10258.2,120960
10023757,37,management,married,tertiary,yes,no,,6,july,98,8366.4,10440
10023758,54,technician,single,,yes,no,,30,august,742,22595.4,80460
10023759,24,student,single,secondary,yes,no,,15,september,226,0,76140
10023760,54,management,married,tertiary,no,no,,9,october,120,0,0
10023761,34,technician,married,secondary,yes,no,,2,november,362,817.2,3420
10023762,56,technician,divorced,primary,yes,no,,14,december,357,324,2340
10023763,31,blue-collar,single,secondary,yes,no,,9,january,200,815.4,540
10023764,24,student,single,secondary,yes,no,,18,february,204,2489.4,14760
10023765,42,blue-collar,divorced,primary,yes,no,,25,march,126,7738.2,5040
10023766,57,technician,married,secondary,yes,no,,18,april,65,29538,142560
10023767,42,blue-collar,married,,yes,no,,17,may,107,24186.6,73440
10023768,51,admin.,married,secondary,yes,no,,3,june,267,17393.4,95580
10023769,57,retired,married,secondary,yes,no,,1,july,248,5943.6,37980
10023770,36,services,single,secondary,yes,no,,19,august,215,6559.2,11160
10023771,53,services,married,,yes,no,,13,september,209,29262.6,46260
10023772,50,technician,married,secondary,yes,no,,9,october,205,32293.8,222120
10023773,54,management,married,tertiary,yes,no,,2,november,83,8672.4,56340
10023774,55,blue-collar,married,secondary,yes,no,,22,december,106,5567.4,16020
10023775,44,blue-collar,married,secondary,yes,yes,,18,january,189,0,23220
10023776,43,management,married,,yes,no,,20,february,105,0,0
10023777,56,admin.,married,secondary,yes,no,,3,march,106,28479.6,63540
10023778,54,technician,married,,yes,,,22,april,108,14851.8,153180
10023779,55,services,divorced,primary,yes,yes,,23,may,311,10157.4,17280
10023780,37,services,divorced,secondary,yes,yes,,28,june,214,14401.8,71640
10023781,33,admin.,single,tertiary,no,no,,10,july,132,,34740
10023782,46,admin.,married,secondary,yes,no,,2,august,358,,-64440
10023783,36,blue-collar,married,secondary,yes,yes,,6,september,453,,97020
10023784,51,technician,single,secondary,yes,no,,19,october,364,,0
10023785,40,retired,single,primary,no,no,,23,november,136,,0
10023786,42,blue-collar,married,secondary,yes,no,,23,december,386,,88200
10023787,51,blue-collar,married,secondary,yes,no,,17,january,173,,0
10023788,49,blue-collar,married,,yes,no,,8,february,241,13235.4,72540
10023789,48,management,married,secondary,yes,no,,12,march,224,33346.8,28980
10023790,32,technician,divorced,tertiary,no,no,,23,april,148,26015.4,460440
10023791,31,admin.,single,secondary,yes,no,,27,may,196,5517,17640
10023792,55,management,single,tertiary,no,no,,29,june,111,11635.2,20700
10023793,40,blue-collar,single,secondary,yes,no,,29,july,231,31276.8,78480
10023794,47,technician,married,tertiary,yes,no,,20,august,316,21499.2,149580
10023795,57,technician,married,,yes,no,,18,september,216,12700.8,37080
10023796,41,blue-collar,married,secondary,yes,no,,17,october,240,885.6,52200
10023797,48,blue-collar,married,secondary,no,no,,26,november,669,392.4,180
10023798,42,blue-collar,married,,yes,no,,5,december,425,0,10260
10023799,30,blue-collar,single,secondary,yes,no,,17,january,143,0,-82260
10023800,58,management,single,tertiary,yes,no,,1,february,174,303508.8,249660
10023801,45,management,divorced,tertiary,yes,no,,20,march,313,44636.4,4427640
10023802,49,blue-collar,married,secondary,yes,no,,16,april,135,9099,5400
10023803,42,admin.,single,secondary,yes,no,,12,may,146,12430.8,183960
10023804,53,technician,married,secondary,yes,yes,,25,june,152,,10080
10023805,51,admin.,single,secondary,no,no,,4,july,402,,-360
10023806,32,services,single,secondary,yes,no,,6,august,213,16585.2,21780
10023807,41,blue-collar,single,secondary,yes,no,,17,september,144,39691.8,151560
10023808,43,management,divorced,secondary,yes,no,,2,october,124,0,124740
10023809,40,blue-collar,divorced,secondary,yes,no,,16,november,183,0,-59940
10023810,50,blue-collar,married,primary,yes,no,,20,december,325,13798.8,275940
10023811,34,management,married,tertiary,yes,no,,17,january,39,1495.8,8280
10023812,53,services,married,,no,no,,25,february,503,1461.6,3240
10023813,45,technician,married,secondary,yes,no,,1,march,95,0,7920
10023814,39,blue-collar,married,primary,yes,no,,24,april,680,0,-18000
10023815,44,services,married,tertiary,yes,no,,3,may,421,30711.6,91800
10023816,55,management,married,tertiary,yes,no,,11,june,174,18597.6,123300
10023817,46,management,single,tertiary,yes,,,1,july,113,5772.6,33660
10023818,45,blue-collar,married,secondary,yes,no,,24,august,808,9990,11880
10023819,34,admin.,married,secondary,yes,no,,23,september,198,0,100800
10023820,36,blue-collar,married,secondary,yes,no,,23,october,195,0,0
10023821,59,,divorced,,no,no,,25,november,347,936,4860
10023822,31,admin.,single,secondary,yes,no,,16,december,208,1049.4,2160
10023823,44,blue-collar,single,secondary,yes,no,,7,january,404,9901.8,6120
10023824,33,entrepreneur,single,tertiary,yes,no,,15,february,396,24667.2,192240
10023825,40,blue-collar,married,secondary,yes,no,,23,march,216,14655.6,37980
10023826,46,admin.,single,tertiary,yes,no,,26,april,98,16362,67860
10023827,48,management,married,tertiary,yes,no,,3,may,350,29948.4,47340
10023828,42,services,married,secondary,yes,no,,20,june,114,5223.6,227340
10023829,27,services,married,secondary,yes,no,,30,july,88,1650.6,1440
10023830,,admin.,married,secondary,yes,yes,,15,august,379,8845.2,22680
10023831,59,admin.,married,secondary,yes,no,,12,september,190,22852.8,41400
10023832,46,technician,married,tertiary,yes,no,,8,october,158,26445.6,151380
10023833,38,admin.,divorced,secondary,yes,no,,22,november,102,912.6,55440
10023834,43,management,divorced,tertiary,yes,no,,20,december,306,482.4,180
10023835,38,admin.,divorced,tertiary,yes,no,,18,january,218,6037.2,15480
10023836,23,student,single,secondary,yes,no,,11,february,54,3054.6,28260
10023837,34,services,married,secondary,yes,no,,4,march,344,1652.4,3960
10023838,38,admin.,married,secondary,yes,yes,,10,april,195,12672,8280
10023839,37,blue-collar,married,secondary,no,no,,18,may,652,20637,232740
10023840,25,admin.,single,secondary,yes,no,,12,june,286,6568.2,21960
10023841,48,blue-collar,married,,yes,no,,10,july,189,7111.8,23580
10023842,49,blue-collar,single,secondary,yes,no,,18,august,83,12317.4,25740
10023843,38,admin.,single,secondary,no,no,,22,september,184,10197,70740
10023844,43,blue-collar,married,primary,yes,no,,7,october,235,0,17640
10023845,33,management,married,tertiary,yes,no,,19,november,290,0,0
10023846,55,blue-collar,married,secondary,yes,no,,28,december,232,21396.6,40320
10023847,38,blue-collar,married,secondary,yes,no,,27,january,133,22377.6,136260
10023848,49,services,married,secondary,yes,yes,,28,february,318,74923.2,44100
10023849,40,management,married,secondary,no,no,,4,march,260,89550,1527480
10023850,43,admin.,married,,no,no,,7,april,437,4347,63000
10023851,38,blue-collar,married,secondary,yes,no,,11,may,402,9487.8,3600
10023852,58,services,married,secondary,yes,yes,,20,june,85,39405.6,300060
10023853,57,technician,married,,yes,no,,11,july,125,3052.8,62100
10023854,32,unemployed,married,secondary,yes,no,,6,august,501,4734,1800
10023855,56,management,married,tertiary,yes,yes,,18,september,1201,8062.2,149400
10023856,58,blue-collar,divorced,,yes,,,11,october,253,6532.2,5220
10023857,60,retired,divorced,secondary,yes,no,,9,november,1030,113340.6,98100
10023858,37,technician,married,tertiary,yes,no,,1,december,149,106034.4,1571400
10023859,46,technician,divorced,tertiary,yes,no,,8,january,114,2269.8,85860
10023860,27,admin.,married,secondary,yes,no,,3,february,243,3607.2,720
10023861,43,blue-collar,married,secondary,yes,no,,13,march,769,0,216900
10023862,32,technician,single,secondary,yes,yes,,17,april,135,0,0
10023863,40,admin.,single,secondary,yes,no,,26,may,231,842.4,47340
10023864,38,admin.,married,secondary,no,no,,8,june,76,874.8,180
10023865,34,blue-collar,married,secondary,no,yes,,23,july,199,12546,50940
10023866,47,blue-collar,married,primary,yes,no,,13,august,152,3074.4,37080
10023867,42,housemaid,married,primary,yes,no,,10,september,124,2543.4,3060
10023868,48,technician,married,secondary,yes,yes,,2,october,424,2467.8,25380
10023869,29,self-employed,single,tertiary,yes,no,,5,november,43,2982.6,2880
